scenario_id,trade_index,event_id,cycle_id,token,original_profit_usd,stressed_profit_usd,missed,cost_multiplier,slippage_shock_bps,latency_multiplier,adverse_profit_noise_bps
BASELINE,1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.025919000000000025,0.025919000000000025,False,1.0,0.0,0.0,0.0
BASELINE,2,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,MET,0.00012600000000007223,0.00012600000000007223,False,1.0,0.0,0.0,0.0
BASELINE,3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,BIRB,0.00113399999999997,0.00113399999999997,False,1.0,0.0,0.0,0.0
BASELINE,4,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,Bonk,0.006679000000000103,0.006679000000000103,False,1.0,0.0,0.0,0.0
BASELINE,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,Fartcoin,0.001881999999999941,0.001881999999999941,False,1.0,0.0,0.0,0.0
COST_1_25X,1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.025919000000000025,0.025419000000000025,False,1.25,0.0,0.0,0.0
COST_1_25X,2,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,MET,0.00012600000000007223,-0.0003739999999999278,False,1.25,0.0,0.0,0.0
COST_1_25X,3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,BIRB,0.00113399999999997,0.0006339999999999702,False,1.25,0.0,0.0,0.0
COST_1_25X,4,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,Bonk,0.006679000000000103,0.006179000000000103,False,1.25,0.0,0.0,0.0
COST_1_25X,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,Fartcoin,0.001881999999999941,0.001381999999999941,False,1.25,0.0,0.0,0.0
COST_1_50X,1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.025919000000000025,0.024919000000000024,False,1.5,0.0,0.0,0.0
COST_1_50X,2,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,MET,0.00012600000000007223,-0.0008739999999999278,False,1.5,0.0,0.0,0.0
COST_1_50X,3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,BIRB,0.00113399999999997,0.0001339999999999703,False,1.5,0.0,0.0,0.0
COST_1_50X,4,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,Bonk,0.006679000000000103,0.005679000000000103,False,1.5,0.0,0.0,0.0
COST_1_50X,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,Fartcoin,0.001881999999999941,0.0008819999999999412,False,1.5,0.0,0.0,0.0
SLIPPAGE_5_BPS,1,HISTORICAL:CYCLE-000006-20260730T214218000000:00000501,CYCLE-000006-20260730T214218000000,BOLT,0.025919000000000025,0.025419000000000025,False,1.0,5.0,0.0,0.0
SLIPPAGE_5_BPS,2,HISTORICAL:CYCLE-000010-20260731T035444000000:00000901,CYCLE-000010-20260731T035444000000,MET,0.00012600000000007223,-0.0003739999999999278,False,1.0,5.0,0.0,0.0
SLIPPAGE_5_BPS,3,HISTORICAL:CYCLE-000011-20260731T040859000000:00001001,CYCLE-000011-20260731T040859000000,BIRB,0.00113399999999997,0.0006339999999999702,False,1.0,5.0,0.0,0.0
SLIPPAGE_5_BPS,4,VERIFIED_LIVE:2026-07-31 22:13:54:00000305,2026-07-31 22:13:54,Bonk,0.006679000000000103,0.006179000000000103,False,1.0,5.0,0.0,0.0
SLIPPAGE_5_BPS,5,VERIFIED_LIVE:2026-07-31 22:13:54:00000306,2026-07-31 22:13:54,Fartcoin,0.001881999999999941,0.001381999999999941,False,1.0,5.0,0.0,0.0
